date,status,appeal,address,ward
06/11/19,DENIED,BOA-896852,17-19 Myrick Street,Ward 22
06/11/19,DENIED,BOA-896851,17-19 Myrick Street,Ward 22
06/11/19,DENIED,BOA-900954,4 Pond Street,Ward 18
06/11/19,DENIED,BOA-912336,101-103 Rosseter Street,Ward 14
06/11/19,DENIED,BOA-869984,67-69 Sanford Street,Ward 17
06/11/19,DENIED,BOA-869960,67-69 Sanford Street,Ward 17
06/11/19,DENIED,BOA-869954,67-69 Sanford Street,Ward 17
06/11/19,DENIED,BOA-869948,67R Sanford Street,Ward 17
06/11/19,DENIED,BOA-765159,139 Walter Street,Ward 20
06/11/19,DENIED,BOA-897977,40 Williams Street,Ward 9
06/11/19,DENIED,BOA-897975,38 Williams Street,Ward 9
06/11/19,DENIED,BOA-613478,820 William T Morrissey BLVD,Ward 16
05/07/19,APPROVED,BOA-901824,23 Blake Street,Ward 18
05/07/19,APPROVED,BOA-924393,1117-1125 Blue Hill Avenue,Ward 14
05/07/19,APPROVED,BOA-922089,430-454 Blue Hill Avenue,Ward 14
05/07/19,APPROVED,BOA-917632,184 Bremen Street,Ward 1
05/07/19,APPROVED,BOA-879362,225 Beacon Street,Ward 5
05/07/19,APPROVED,BOA-881804,141-151 Condor Street,Ward 1
05/07/19,APPROVED,BOA-881803,131 Condor Street,Ward 1
05/07/19,APPROVED,BOA-906053,342-346 Dorchester Street,Ward 7
05/07/19,APPROVED,BOA-912627,733-733A East Fifth Street,Ward 6
05/07/19,APPROVED,BOA-787634,500-502A East Broadway,Ward 6
05/07/19,APPROVED,BOA-915937,176R Faneuil Street,Ward 22
05/07/19,APPROVED,BOA-866128,11 Hudson Street,Ward 3
05/07/19,APPROVED,BOA-919279,100 Intervale Street,Ward 14
05/07/19,APPROVED,BOA-928032,113-115 Marlborough Street,Ward 5
05/07/19,APPROVED,BOA-906174,50 Moseley Street,Ward 13
05/07/19,APPROVED,BOA-927663,89 Morris Street,Ward 1
05/07/19,APPROVED,BOA-914088,9 Mount Everett Street,Ward 15
05/07/19,APPROVED,BOA-921129,33 Mount Vernon Street,Ward 5
05/07/19,APPROVED,BOA-915212,226-228 Newbury Street,Ward 5
05/07/19,APPROVED,BOA-922966,103-105 Newbury Street,Ward 5
05/07/19,APPROVED,BOA-924595,103-105 Newbury Street,Ward 5
05/07/19,APPROVED,BOA-904425,210-214 Newbury Street,Ward 5
05/07/19,APPROVED,BOA-852419,74-74B Oakland Street,Ward 22
05/07/19,APPROVED,BOA-852415,72-72B Oakland Street,Ward 22
05/07/19,APPROVED,BOA-916852,1555 VFW Parkway,Ward 20
05/07/19,APPROVED,BOA-916848,1545 VFW Parkway,Ward 20
